Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
16245295,The Lock and Key Library Classic Mystery and Detective Stories: Modern English,Julian Hawthorne,"Hawthorne, Julian",Rudyard Kipling,"=""1781393087""","=""9781781393086""",0,3.50,Benediction Classics,Paperback,386,2012,2012,,2013/07/26,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
9500629,Clementine Vulgate,Jerome,"Jerome, Jerome",,"=""""","=""""",0,4.63,,Kindle Edition,1980,,328,,2014/04/20,"currently-reading, classics, latin","currently-reading (#2), classics (#41), latin (#5)",currently-reading,,,,1,,,0,,,,,
36664344,"Sing, Unburied, Sing",Jesmyn Ward,"Ward, Jesmyn",,"=""1501126075""","=""9781501126079""",0,4.02,Scribner,Paperback,320,2018,2017,,2019/10/25,to-read,to-read (#101),to-read,,,,0,,,0,,,,,
18293427,The Storied Life of A.J. Fikry,Gabrielle Zevin,"Zevin, Gabrielle",,"=""1616203218""","=""9781616203214""",0,3.99,Algonquin Books,Hardcover,260,2014,2014,,2019/08/07,,,read,,,,1,,,0,,,,,
45284198,Secret Soldiers: How the U.S. Twenty-Third Special Troops Fooled the Nazis,Paul B. Janeczko,"Janeczko, Paul B.",,"=""""","=""""",0,3.31,Candlewick Press,Kindle Edition,305,2019,2019,,2019/06/23,to-read,to-read (#100),to-read,,,,0,,,0,,,,,
12527,Pilgrim at Tinker Creek,Annie Dillard,"Dillard, Annie",,"=""0072434171""","=""9780072434170""",0,4.09,Harper Perennial,Paperback,288,2000,1974,2019/05/28,2019/02/01,book-club,book-club (#252),read,,,,1,,,0,,,,,
16697,The Mysteries of Pittsburgh,Michael Chabon,"Chabon, Michael",,"=""0060790598""","=""9780060790592""",0,3.64,Harper Perennial,Paperback,320,2005,1988,2019/05/28,2018/06/25,,,read,,,,1,,,0,,,,,
13316328,"The Last Dragonslayer (The Last Dragonslayer, #1)",Jasper Fforde,"Fforde, Jasper",,"=""0547738471""","=""9780547738475""",0,3.87,HMH Books for Young Readers,Hardcover,296,2012,2010,2019/05/28,2014/11/16,,,read,,,,1,,,0,,,,,
15796700,Americanah,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",Jashar Awan,"=""""","=""""",0,4.31,Alfred A. Knopf,Hardcover,477,2013,2013,2019/05/28,2013/11/30,book-club,book-club (#253),read,,,,1,,,0,,,,,
17654741,Seven Elements That Have Changed the World: An Adventure of Ingenuity and Discovery,John Browne,"Browne, John",,"=""1605985406""","=""9781605985404""",0,3.60,Pegasus Books,Hardcover,288,2014,2013,,2018/06/25,,,read,,,,1,,,0,,,,,
17262526,"How to Age in Place: Planning for a Happy, Independent, and Financially Secure Retirement",Mary A. Languirand,"Languirand, Mary A.",Robert F. Bornstein,"=""1607744163""","=""9781607744160""",0,3.60,Ten Speed Press,Paperback,256,2013,2013,,2018/06/25,currently-reading,currently-reading (#9),currently-reading,,,,1,,,0,,,,,
682761,The Nazi Officer's Wife: How One Jewish Woman Survived the Holocaust,Edith Hahn Beer,"Beer, Edith Hahn",Susan Dworkin,"=""068817776X""","=""9780688177768""",0,4.16,William Morrow Paperbacks,Paperback,305,2000,1999,,2018/06/25,,,read,,,,1,,,0,,,,,
14458908,"Washed Away: How the Great Flood of 1913, America's Most Widespread Natural Disaster, Terrorized a Nation and Changed It Forever",Geoff Williams,"Williams, Geoff",,"=""1605984043""","=""9781605984049""",0,3.58,Pegasus Books,Hardcover,336,2013,2007,,2018/06/25,,,read,,,,1,,,0,,,,,
24805680,Dark Matter and the Dinosaurs: The Astounding Interconnectedness of the Universe,Lisa Randall,"Randall, Lisa",,"=""0062328514""","=""9780062328519""",0,3.66,Ecco,ebook,432,2015,2015,,2018/06/25,,,read,,,,1,,,0,,,,,
23847956,"Wrath of the Furies (Ancient World, #3)",Steven Saylor,"Saylor, Steven",,"=""1250015987""","=""9781250015983""",0,3.95,Minotaur Books,Hardcover,320,2015,2015,,2018/03/19,mystery,mystery (#151),read,,,,1,,,0,,,,,
3131983,"The Triumph of Caesar (Roma Sub Rosa, #12)",Steven Saylor,"Saylor, Steven",,"=""1845295676""","=""9781845295677""",0,3.92,St Martin,Hardcover,271,2008,2004,,2018/03/19,mystery,mystery (#150),read,,,,1,,,0,,,,,
102713,"A Gladiator Dies Only Once (Roma Sub Rosa, #11)",Steven Saylor,"Saylor, Steven",,"=""0312357443""","=""9780312357443""",0,3.95,St. Martin's Griffin,Paperback,288,2006,2005,,2018/03/19,"currently-reading, mystery","currently-reading (#8), mystery (#149)",currently-reading,,,,1,,,0,,,,,
388674,"To Shield the Queen (Ursula Blanchard, #1)",Fiona Buckley,"Buckley, Fiona",,"=""0671015311""","=""9780671015312""",0,3.73,Pocket Books,Paperback,328,1998,1997,,2017/07/07,mystery,mystery (#148),read,,,,1,,,0,,,,,
18751125,Bewreathed (Deborah Knott Short Stories),Margaret Maron,"Maron, Margaret",,"=""""","=""""",0,4.28,Maron and Company,Kindle Edition,17,2012,2012,,2017/07/03,mystery,mystery (#147),read,,,,1,,,0,,,,,
30008702,Nutshell,Ian McEwan,"McEwan, Ian",,"=""""","=""""",0,3.67,Nan A. Talese,Hardcover,208,2016,2016,,2016/12/18,,,read,,,,1,,,0,,,,,
3722183,"A God in Ruins (Todd Family, #2)",Kate Atkinson,"Atkinson, Kate",Alex Jennings,"=""0316176532""","=""9780316176538""",0,3.94,"Little, Brown and Company",Hardcover,468,2015,2015,,2016/01/16,,,read,,,,1,,,0,,,,,
312260,The History Boys,Alan Bennett,"Bennett, Alan",,"=""0571224644""","=""9780571224647""",0,4.06,Faber  Faber,Paperback,109,2004,2004,,2014/03/19,,,read,,,,1,,,0,,,,,
42641,Resurrection,Leo Tolstoy,"Tolstoy, Leo","Louise Maude, Aylmer Maude","=""0735102864""","=""9780735102866""",0,4.14,Replica Books,Hardcover,562,2000,1899,,2014/03/19,classics,classics (#63),read,,,,1,,,0,,,,,
116326,"Book Lust: Recommended Reading for Every Mood, Moment, and Reason",Nancy Pearl,"Pearl, Nancy",,"=""1570613818""","=""9781570613814""",0,3.77,Sasquatch Books,Paperback,287,2003,2003,,2013/07/06,books-about-books,books-about-books (#21),read,,,,1,,,0,,,,,
21853663,Martin Marten,Brian  Doyle,"Doyle, Brian",,"=""1250045207""","=""9781250045201""",4,4.34,Thomas Dunne Books,Hardcover,309,2015,2015,,2019/02/18,,,read,,,,1,,,0,,,,,
48757,The Tao of Pooh,Benjamin Hoff,"Hoff, Benjamin",Ernest H. Shepard,"=""1405204265""","=""9781405204262""",2,3.99,Egmont Books,Paperback,176,2003,1982,2019/02/18,2019/02/01,,,read,,,,1,,,0,,,,,
26795307,Moonglow,Michael Chabon,"Chabon, Michael",,"=""0062225553""","=""9780062225559""",3,3.81,Harper,Hardcover,430,2016,2016,,2016/12/18,,,read,,,,2,,,0,,,,,
40624556,Number One Chinese Restaurant,Lillian Li,"Li, Lillian",Nancy Wu,"=""""","=""""",2,3.02,Macmillan Audio,Audible Audio,,2018,2018,2019/02/01,2019/01/11,,,read,,,,1,,,0,,,,,
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",0,4.47,Random House,Hardcover,334,2018,2018,,2019/02/01,to-read,to-read (#99),to-read,,,,0,,,0,,,,,
7507825,At Home: A Short History of Private Life,Bill Bryson,"Bryson, Bill",,"=""0767919386""","=""9780767919388""",4,3.97,Doubleday,Hardcover,497,2010,2010,,2019/01/22,book-club,book-club (#251),read,I loved this book.  But be forewarned - it is nothing but a long stream of factoids.  Hundreds of pages of useless trivia.  I just happen to love useless trivia.,,,1,,,0,,,,,
32202167,"Pirate Women: The Princesses, Prostitutes, and Privateers Who Ruled the Seven Seas",Laura Sook Duncombe,"Duncombe, Laura Sook",,"=""1613736010""","=""9781613736012""",2,3.13,Chicago Review Press,Hardcover,264,2017,2017,2019/01/22,2018/06/25,,,read,"A compilation of everything the author could find about any person, real or fictional, who might possibly have been female who was engaged in any way with anything that might possibly be considered piracy.  Written in very plain language.  Probably aimed at teenagers.",,,1,,,0,,,,,
27278007,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,Margot Lee Shetterly,"Shetterly, Margot Lee",Robin Miles,"=""0062472070""","=""9780062472076""",4,3.93,HarperAudio,Audiobook,10,2016,2016,2017/08/22,2016/11/15,,,read,,,,1,,,0,,,,,
32722510,The Zookeeper's Wife,Diane Ackerman,"Ackerman, Diane",,"=""0393354253""","=""9780393354256""",3,3.47,W. W. Norton  Company,Paperback,368,2017,2007,,2019/01/11,,,read,,,,1,,,0,,,,,
8966514,A Good Man is Hard to Find and Other Stories,Flannery O'Connor,"O'Connor, Flannery",Marguerite Gavin,"=""1441769102""","=""9781441769107""",3,4.21,Blackstone Audiobooks,Audiobook,8,2010,1955,2019/01/11,2018/12/27,,,read,,,,1,,,0,,,,,
17934427,"Raiders of the Nile (Ancient World, #2)",Steven Saylor,"Saylor, Steven",,"=""1250015979""","=""9781250015976""",3,3.88,Minotaur Books,Hardcover,342,2014,2014,2018/12/31,2018/03/19,,,read,,,,2,,,0,,,,,
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",4,4.44,Metropolitan Books,Hardcover,282,2014,2014,2018/12/27,2018/12/23,,,read,,,,1,,,0,,,,,
38115705,The Evolution of Beauty: How Darwin's Forgotten Theory of Mate Choice Shapes the Animal World - And Us,Richard O. Prum,"Prum, Richard O.",,"=""""","=""9781524756581""",4,4.05,Random House Audio,Audiobook,,2017,2017,2018/12/23,2018/06/25,,,read,,,,1,,,0,,,,,
89220,The Complete Poems,Catullus,"Catullus, Catullus",Guy Lee,"=""0192835874""","=""9780192835871""",2,4.10,Oxford University Press,Paperback,195,1998,-60,2018/12/17,2015/12/01,"latin, poetry, classics","latin (#1), poetry (#5), classics (#58)",read,"I started this book because I wanted to translate some Latin poetry, and I'd read some bits of Catullus in my textbook that were quite sweet.  <br/><br/>Unfortunately, those sweet bits are few and far apart among his poems.  In the vast majority of his work he is simply nasty.  He viciously skewers people without mercy and often drops into obscenity.  There were many times when, after parsing out and understanding the Latin, I was at a loss of how to restate it in English.  Because I couldn't bring myself to write down the English words that were needed to do this.  Hell, in many cases I didn't even know the English equivalents.",,,1,,,0,,,,,
2182,Three Tales,Gustave Flaubert,"Flaubert, Gustave","Roger Whitehouse, Geoffrey Wall","=""0140448004""","=""9780140448009""",0,3.68,Penguin Classics,Paperback,110,2005,1877,2018/12/17,2018/11/28,,,read,,,,1,,,0,,,,,
36222363,The Power,Naomi Alderman,"Alderman, Naomi",,"=""0316547603""","=""9780316547604""",0,3.81,Back Bay Books,Paperback,385,2019,2016,,2018/12/16,to-read,to-read (#98),to-read,,,,0,,,0,,,,,
951234,Gilgamesh: A New English Version,Anonymous,"Anonymous, Anonymous","Stephen Mitchell, George Guidall","=""1402597665""","=""9781402597664""",0,3.69,"Recorded Books, Inc.",Audio CD,4,2004,-1800,2014/08/02,2014/07/28,"book-club, classics","book-club (#191), classics (#42)",read,,,,1,,,0,,,,,
479921,"Age of Bronze, Volume 1: A Thousand Ships (Age of Bronze, #1)",Eric Shanower,"Shanower, Eric",,"=""1582402000""","=""9781582402000""",0,3.91,Image Comics,Paperback,224,2018,2001,2018/11/28,2018/10/21,,,read,,,,1,,,0,,,,,
59924,The Lathe of Heaven,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0060512741""","=""9780060512743""",4,4.11,Harper Perennial Modern Classics,Paperback,176,2003,1971,,2018/10/23,book-club,book-club (#250),read,,,,0,,,0,,,,,
18170143,An Astronaut's Guide to Life on Earth,Chris Hadfield,"Hadfield, Chris",,"=""0316253014""","=""9780316253017""",3,4.16,"Little, Brown and Company",Hardcover,295,2013,2013,2018/10/16,2018/10/03,book-club,book-club (#249),read,"A cross between a memoir and a self-help book, interspersing details of how exactly you function in a weightless environment with advice on how to achieve your dreams.  Work your butt off, pull your own weight and help others out, don't be an asshole.  ",,,1,,,0,,,,,
16085458,The Best of Connie Willis: Award-Winning Stories,Connie Willis,"Willis, Connie",,"=""0345540646""","=""9780345540645""",0,4.09,Del Rey,Hardcover,473,2013,1993,,2018/06/25,,,read,,,,1,,,0,,,,,
18490777,The Mapmaker's Children,Sarah McCoy,"McCoy, Sarah",,"=""0385348908""","=""9780385348904""",2,3.73,Crown,Hardcover,300,2015,2014,,2018/06/25,,,read,,,,1,,,0,,,,,
23130105,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Richard L. Currier,"Currier, Richard L.",,"=""1628725222""","=""9781628725223""",0,4.00,Arcade,Hardcover,416,2015,2015,2018/10/03,2018/06/25,,,read,,,,1,,,0,,,,,
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",4,4.10,Penguin Press,Hardcover,338,2017,2017,,2018/09/19,book-club,book-club (#248),read,"<br/>Mothers and daughters and their interactions. All sorts of mothers - biological, adoptive, and virtual.  There are men and boys in the book as well, but they are mainly placeholders.  The novel is really all about the women and girls.<br/><br/>The novel is set in Shaker Heights, Ohio (where Ng grew up, although she was born in Pittsburgh) in the 90's.  Ng is of the generation of the teenagers in the book, while I would be the same age as the mothers.<br/><br/>Mrs Richardson seems at first to be Lady Bountiful, distributing largess to the deserving needy, but is gradually revealed to be the Witch Mother from Hell, secure in her own knowledge of what is right and proper and manipulating and controlling everyone around her.  Mia on the other hand, is a Wise Woman, a nomadic artist, poor and rootless, but with the gift of seeing the deep inner essence of everyone she meets, and the knowledge of how to prick it out to the surface.  They meet and mingle for a while, then, inevitably, clash and part ways.<br/><br/>The novel ends abruptly, with each of the teenagers pointed in a different direction.  But you're left wondering where each will end up, and how they'll live their adult lives. <br/>",,,1,,,0,,,,,
11297438,Knocking on Heaven's Door: How Physics and Scientific Thinking Illuminate the Universe and the Modern World,Lisa Randall,"Randall, Lisa",,"=""006172372X""","=""9780061723728""",3,3.80,Ecco,Hardcover,442,2011,2011,2018/08/13,2018/06/25,,,read,"A book about SCIENCE! Or at least a small part of it.  Actually, the bulk of the book dealt with the Large Hadron Collider - how it was built, how it works, and what we hope to find with it.  <br/>",,,2,,,0,,,,,
5306,Travels with Charley: In Search of America,John Steinbeck,"Steinbeck, John",,"=""0142000701""","=""9780142000700""",3,4.07,Penguin,Paperback,214,2002,1962,2018/08/14,2018/07/17,book-club,book-club (#247),read,,,,2,,,0,,,,,
359,"The Salmon of Doubt (Dirk Gently, #3)",Douglas Adams,"Adams, Douglas",,"=""0345455290""","=""9780345455291""",3,3.93,Del Rey,Mass Market Paperback,298,2005,2002,2018/09/19,2018/06/25,,,read,"A great whopping chunk of the book was taken up with various speeches, interviews, articles and short stories, culminating in about a dozen chapters of an unfinished Dirk Gently book.  The writing was wonderful, but I really had no idea what was going on, as Adams skipped happily to and fro.  I can only trust that he would have pulled all the loose ends together and tied them all up in a big messy knot.  Or gone through the chapters and snipped them all away.  We'll never know now.",,,1,,,0,,,,,
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,"Adams, Douglas",,"=""0671742515""","=""9780671742515""",0,4.05,Pocket Books,Mass Market Paperback,307,1991,1988,,2018/08/24,,,read,,,,1,,,0,,,,,
569429,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,"Adams, Douglas",,"=""0345379330""","=""9780345379337""",0,3.97,Del Rey,Paperback,288,1993,1992,,2018/08/24,,,read,,,,1,,,0,,,,,
365,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,3.98,Pocket Books,Mass Market Paperback,306,2002,1987,,2018/08/24,,,read,,,,1,,,0,,,,,
6091075,"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.10,Del Rey,Kindle Edition,225,2008,1984,,2018/08/24,,,read,,,,1,,,0,,,,,
8694,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,"Adams, Douglas",,"=""0345418905""","=""9780345418906""",0,4.20,Del Rey,Paperback,224,2005,1982,,2018/08/24,,,read,,,,1,,,0,,,,,
8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.21,Del Rey,Paperback,250,2005,1980,,2018/08/24,,,read,,,,1,,,0,,,,,
23347067,Good Omens: The BBC Radio 4 dramatisation,Neil Gaiman,"Gaiman, Neil","Terry Pratchett, Peter Serafinowicz, Mark Heap","=""1910281913""","=""9781910281918""",0,4.42,BBC Physical Audio,Audio CD,5,2014,2015,2018/08/24,2018/07/16,,,read,,,,1,,,0,,,,,
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",,"=""1579126278""","=""9781579126278""",3,4.24,Black Dog & Leventhal Publishers,Hardcover,288,2006,1926,2018/07/17,2018/06/25,"book-club, mystery","book-club (#244), mystery (#145)",read,,,,1,,,0,,,,,
16322,"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie,"Christie, Agatha",,"=""1579126243""","=""9781579126247""",3,4.02,Black Dog & Leventhal Publishers,Hardcover,232,2006,1936,2018/07/17,2018/06/29,"book-club, mystery","book-club (#246), mystery (#146)",read,,,,1,,,0,,,,,
9250050,Mink River,Brian  Doyle,"Doyle, Brian",,"=""0870715852""","=""9780870715853""",4,4.16,Oregon State University Press,Paperback,320,2010,2010,,2018/07/15,,,read,"I truly loved this book.  My only regret is that it took me this long to get around to reading it.  It's got a plot, more or less, but is more a poem than a novel. Or a fairy tale, about a magical place were crows converse and bears read the New York Times, wrapped around countless other tales.  Salish, Irish, human and non-human, all mixed and mingled together.",,,2,,,0,,,,,
4894,Who Moved My Cheese?,Spencer Johnson,"Johnson, Spencer",Kenneth H. Blanchard,"=""0091883768""","=""9780091883768""",1,3.81,Vermilion,Hardcover,96,2002,1998,,2018/07/08,,,read,"A fable for adults.  Purportedly about how to deal with change, and with a gushing introduction that told how it helped people.  ""It saved my job!""  ""It saved my marriage!""  ""It saved my life!""  But I found it boring and simplistic.  The lessons that I heard in the text were:<br/><br/>Change is good.<br/>Learning is fun.  (Well, duh!)<br/>Motivational posters are useful.  (As jokes?)<br/>Keep your head up, and run at the first hint of trouble.  In other words, quit before they get around to firing you.<br/>Don't overthink.  In fact, don't think at all.  The best and quickest success comes from action without thought.<br/><br/>I don't think the author thought this through very well.  In fact, I kept being reminded of Animal Farm, and almost wondered if the whole thing was actually a parody.  <br/><br/>The book kept harping on overcoming your fear of change.  And maybe some people do fear change.  But I can still remember my absolute terror of being in that place, and my relief at escaping it.  So, no, nothing in this book spoke to me.",,,1,,,0,,,,,
25430248,Crosstalk,Connie Willis,"Willis, Connie",,"=""0345540689""","=""9780345540683""",3,3.52,Del Rey,ebook,480,2016,2016,2018/07/02,2018/06/25,,,read,,,,1,,,0,,,,,
33503495,No Time to Spare: Thinking About What Matters,Ursula K. Le Guin,"Guin, Ursula K. Le",Karen Joy Fowler,"=""1328661598""","=""9781328661593""",0,4.02,Houghton Mifflin Harcourt,Hardcover,215,2017,2017,2018/07/01,2018/06/25,,,read,,,,1,,,0,,,,,
12349,My Year of Meats,Ruth Ozeki,"Ozeki, Ruth",,"=""0140280464""","=""9780140280463""",2,3.97,Penguin Books,Paperback,366,1999,1998,,2018/06/26,book-club,book-club (#245),read,"Ozeki's first novel.  So she hadn't hit her stride yet.<br/><br/>I got the feeling that she'd wanted to write an exposé about the dangers of hormones in meat production, but decided to wrap it in a novel, to get more people to read it.  And so ended up writing a novel about a woman who creates an exposé about the dangers of hormones in meat production.  She created a plot to showcase all the horrible things that go bad in feedlots and slaughterhouses, and then set up stock characters to populate the story.  The male characters in particular came across as stereotypes.",,,1,,,0,,,,,
40604388,Walkaway,Cory Doctorow,"Doctorow, Cory",,"=""""","=""""",0,3.74,Tor Books,Kindle Edition,384,2017,2017,,2018/06/25,to-read,to-read (#97),to-read,,,,0,,,0,,,,,
11487807,"Throne of the Crescent Moon (The Crescent Moon Kingdoms, #1)",Saladin Ahmed,"Ahmed, Saladin",,"=""0756407117""","=""9780756407117""",0,3.64,DAW,Hardcover,274,2012,2012,,2018/06/25,to-read,to-read (#96),to-read,,,,0,,,0,,,,,
792606,The Rise of the Meritocracy,Michael Young,"Young, Michael",,"=""1560007044""","=""9781560007043""",0,3.80,Routledge,Paperback,198,1994,1958,,2018/06/25,to-read,to-read (#95),to-read,,,,0,,,0,,,,,
15819028,"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,"Wecker, Helene",,"=""0062110837""","=""9780062110831""",0,4.10,Harper,Hardcover,486,2013,2013,,2018/06/25,to-read,to-read (#94),to-read,,,,0,,,0,,,,,
10901905,Open Source,M.M. Frick,"Frick, M.M.",,"=""1453719989""","=""9781453719985""",0,4.25,Createspace Independent Publishing Platform,Paperback,386,2010,2010,,2018/06/25,to-read,to-read (#93),to-read,,,,0,,,0,,,,,
2748,Microserfs,Douglas Coupland,"Coupland, Douglas",,"=""0060987049""","=""9780060987046""",0,3.88,Harper Perennial,Paperback,371,1995,1995,,2018/06/25,to-read,to-read (#92),to-read,,,,0,,,0,,,,,
64222,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060502932""","=""9780060502935""",0,4.38,HarperTorch,Mass Market Paperback,394,2005,2004,,2018/06/25,to-read,to-read (#91),to-read,,,,0,,,0,,,,,
6665847,"Daemon (Daemon, #1)",Daniel Suarez,"Suarez, Daniel",,"=""0451228731""","=""9780451228734""",0,4.15,Signet,Mass Market Paperback,632,2009,2006,,2018/06/25,to-read,to-read (#90),to-read,,,,0,,,0,,,,,
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.25,Avon,Mass Market Paperback,1139,2002,1999,,2018/06/25,to-read,to-read (#89),to-read,,,,0,,,0,,,,,
17333324,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,"Leckie, Ann",,"=""031624662X""","=""9780316246620""",0,3.98,Orbit,Paperback,416,2013,2013,,2018/06/25,to-read,to-read (#88),to-read,,,,0,,,0,,,,,
1439038,Feasting the Heart: Fifty-Two Commentaries for the Air,Reynolds Price,"Price, Reynolds",,"=""0743203690""","=""9780743203692""",0,3.77,Scribner Book Company,Hardcover,,2000,2000,,2018/06/25,to-read,to-read (#87),to-read,,,,0,,,0,,,,,
28906549,The Pearl: A Middle English Poem,Anonymous,"Anonymous, Anonymous",,"=""1347706577""","=""9781347706572""",0,0.0,Palala Press,Hardcover,252,2015,,,2018/06/25,to-read,to-read (#86),to-read,,,,0,,,0,,,,,
722892,At Day's Close: Night in Times Past,A. Roger Ekirch,"Ekirch, A. Roger",,"=""0393329011""","=""9780393329018""",0,3.69,W. W. Norton  Company,Paperback,480,2006,2005,,2018/06/25,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
58557,The Informant,Kurt Eichenwald,"Eichenwald, Kurt",,"=""0767903277""","=""9780767903271""",0,3.95,Broadway Books,Paperback,629,2001,2000,,2018/06/25,to-read,to-read (#84),to-read,,,,0,,,0,,,,,
374233,If on a Winter's Night a Traveler,Italo Calvino,"Calvino, Italo",William Weaver,"=""""","=""9780088619451""",0,4.05,L&OD Key Porter,Paperback,260,1982,1979,,2018/06/25,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
25853014,The Wander Society,Keri Smith,"Smith, Keri",,"=""0143108360""","=""9780143108368""",0,3.75,Penguin Books,Hardcover,208,2016,2016,,2018/06/25,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
31307683,"Wait, What?: And Life's Other Essential Questions",James E. Ryan,"Ryan, James E.",,"=""006266476X""","=""9780062664761""",0,3.94,HarperOne,ebook,144,2017,2017,,2018/06/25,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
1766040,Murder Most Crafty,Maggie Bruce,"Bruce, Maggie","Monica Ferris, Parnell Hall, Margaret Maron, Victoria Houston, Sujata Massey, Tim Myers, Judith Kelman, Sharon Newman, Gillian Roberts, Paula L. Woods, Susan Wittig Albert, Jan Burke, Dorothy Cannell, Susan Dunlap, Denise Williams","=""0425204065""","=""9780425204061""",0,3.46,Berkley,Paperback,352,2006,2005,,2018/06/25,to-read,to-read (#80),to-read,,,,0,,,0,,,,,
11102580,The Hinge Factor: How Chance and Stupidity Have Changed History,Erik Durschmied,"Durschmied, Erik",,"=""1611453216""","=""9781611453218""",0,3.37,Arcade,Paperback,416,2011,1999,,2018/06/25,to-read,to-read (#79),to-read,,,,0,,,0,,,,,
59028,The Journey of Man: A Genetic Odyssey,Spencer Wells,"Wells, Spencer",,"=""0812971469""","=""9780812971460""",0,4.08,Random House Trade Paperbacks,Paperback,240,2004,2002,,2018/06/25,to-read,to-read (#78),to-read,,,,0,,,0,,,,,
15817091,"The Best Science Fiction and Fantasy of the Year, Volume 7",Jonathan Strahan,"Strahan, Jonathan","Theodora Goss, Ellen Klages, Paul McAuley, Adam Roberts, Neil Gaiman, Robert Reed, Peter Dickinson, Ted Kosmatka, Rachel Pollack, Kelly Link, Eleanor Arnason, Jeffrey Ford, Kij Johnson, Aliette de Bodard, Pat Murphy, K.J. Parker, Robert Shearman, Karin Tidbeck, Steve Rasnic Tem, Melanie Tem, Megan McCarron, Andy Duncan, Linda Nagata, Catherynne M. Valente, Margo Lanagan, Ken Liu, Peter S. Beagle, Nalo Hopkinson, Caitlín R. Kiernan, Gwyneth Jones, Genevieve Valentine, Molly Gloss, Christopher  Rowe","=""1597804592""","=""9781597804592""",0,3.70,Night Shade,Paperback,640,2013,2012,,2018/06/25,to-read,to-read (#77),to-read,,,,0,,,0,,,,,
166433,Empires of the Word: A Language History of the World,Nicholas Ostler,"Ostler, Nicholas",,"=""0060935723""","=""9780060935726""",0,4.05,Harper Perennial,Paperback,615,2006,2005,,2018/06/25,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
345223,Poisons: From Hemlock to Botox to the Killer Bean of Calabar,Peter Macinnis,"Macinnis, Peter",,"=""1559707615""","=""9781559707619""",0,3.47,Arcade Publishing,Hardcover,256,2005,2004,,2018/06/25,to-read,to-read (#75),to-read,,,,0,,,0,,,,,
18090058,"Paris at the End of the World: How the City of Lights Soared in Its Darkest Hour, 1914-1918",John Baxter,"Baxter, John",,"=""006222140X""","=""9780062221407""",0,3.11,Harper Perennial,Paperback,402,2014,2014,,2018/06/25,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
17262149,The Wishing Thread,Lisa Van Allen,"Allen, Lisa Van",,"=""0345538552""","=""9780345538550""",0,3.50,Ballantine Books,Paperback,400,2013,2013,,2018/06/25,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
6668774,"The Science of Liberty: Democracy, Reason and the Laws of Nature",Timothy Ferris,"Ferris, Timothy",,"=""0060781505""","=""9780060781507""",0,3.94,Harper,Hardcover,384,2010,2010,,2018/06/25,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
644154,Mr. Timothy,Louis Bayard,"Bayard, Louis",,"=""0060534222""","=""9780060534226""",0,3.61,William Morrow Paperbacks,Paperback,416,2004,2002,,2018/06/25,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
