Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17942466,The War Poems of Siegfried Sassoon (eBook),Siegfried Sassoon,"Sassoon, Siegfried",,"=""1438570015""","=""9781438570013""",0,4.23,Book Jungle,ebook,68,2010,1919,2014/10/27,2014/10/23,poetry,poetry (#2),read,,,,1,,,0,,,,,
16995851,The Golden Ass,Apuleius,"Apuleius, Apuleius",Sarah Ruden,"=""1283425971""","=""9781283425971""",3,3.88,Yale University Press,ebook,288,2012,170,2014/10/19,2014/10/23,"book-club, classics","book-club (#196), classics (#44)",read,"Classics book group.<br/><br/>I read it as a collection of stories, sort of an ancestor of the Decameron or the Canterbury Tales, with the barest of plots holding them all in place.  But others saw it as a masterful tale of redemption, with Lucius seeing the error of his ways, renouncing vice and embracing virtue, and being rewarded with a return to human form, and wealth and family.   I'm not buying it though.  The final book felt abrupt and tacked on, as if Apuleius had taken an existing work of ribald tales, ripped off the ending and stitched in one of his own, extolling the joys of religion.<br/><br/>Nancy wondered if the novel was a subversive, and subtle, indictment of slavery, as it was (mostly) put in the mouth of a powerless beast of burden, and showed the abuse heaped upon him and on the slaves around him.  I like this idea, but find it unlikely.",,,1,,,0,,,,,
266988,Fairies and Fusiliers,Robert Graves,"Graves, Robert",,"=""1603120092""","=""9781603120098""",4,3.84,Aegypan,Paperback,112,2007,1917,2014/10/21,2014/10/23,poetry,poetry (#1),read,,,,1,,,0,,,,,
12510833,By Blood,Ellen Ullman,"Ullman, Ellen",,"=""0374117551""","=""9780374117559""",3,3.57,"Farrar, Straus and Giroux",Paperback,378,2012,2012,2014/10/18,2014/10/09,,,read,,,,1,,,0,,,,,
970570,The Heart of Darkness ,Joseph Conrad,"Conrad, Joseph",,"=""0460874772""","=""9780460874779""",4,3.43,Everyman Paperback,Paperback,131,1995,1899,2013/06/25,2013/06/12,"book-club, classics","book-club (#168), classics (#30)",read,"Carolyn started out by saying how much she appreciated that Conrad wrote a book decrying colonialism while colonialism was a current matter, and not from the safe distance of a generation or two after it was gone.   I firmly believe that his sympathies were with the Africans rather than the European exploiters (after all, he'd spent his youth in a Poland occupied by Russian overlords).  But would an English reader in 1900 have seen this?  Or would he have seen slavery and robbery as a civilizing influence?  In other words, was the true heart of darkness the interior of deepest, darkest Africa, or was it the blackness of Kurtz' heart as he was utterly corrupted by the power that he held?<br/><br/>Bruce had read it in high school, when it felt like butting his head against a wall.  This time through he found that he understood it.  And really enjoyed it.  It's amazing how a few decades will improve an author.",,,1,,,0,,,,,
15811545,A Tale for the Time Being,Ruth Ozeki,"Ozeki, Ruth",,"=""0670026638""","=""9780670026630""",3,4.02,Viking,Hardcover,422,2013,2013,2014/09/23,2014/09/18,book-club,book-club (#192),read,,,,1,,,0,,,,,
12471982,The Song of the Lark,Willa Cather,"Cather, Willa",,"=""3655000413""","=""9783655000410""",0,3.89,MVB E-Books,ebook,0,2010,1915,2014/09/21,2014/08/04,"book-club, classics","book-club (#194), classics (#43)",read,,,,1,,,0,,,,,
3990136,"Three Years with Company K, 13th Massachusetts Infantry",Austin C. Stearns,"Stearns, Austin C.",,"=""0838614809""","=""9780838614808""",0,4.00,Fairleigh Dickinson University Press,Hardcover,346,1976,1976,,2014/09/16,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
11366,The Guns of August,Barbara W. Tuchman,"Tuchman, Barbara W.",Robert K. Massie,"=""0345476093""","=""9780345476098""",4,4.17,Ballantine Books,Paperback,606,2004,1962,2005/04/12,2008/03/29,book-club,book-club (#43),read,"April 2005<br/><br/>Only Bill managed to finish it, but everyone enjoyed it, or rather, thought it a good book. It was stuffed full of facts, and too many people to keep track of, but she did a good job of sketching out the essence of the combatants. It played like a Greek tragedy, with poor decisions on all sides leading to calamity. Conversation inevitably turned to those in power, then and now, only seeing what they wanted to see, and not learning from past history.<br/><br/>August 2014<br/><br/>Re-reading for the centennial.",,,1,,,0,,,,,
537303,Last Lessons of Summer,Margaret Maron,"Maron, Margaret",,"=""044661422X""","=""9780446614221""",0,3.78,Grand Central Publishing,Paperback,368,2004,2003,,2014/02/05,,,read,,,,1,,,0,,,,,
